customer_id,name,email,phone,sign_up_date,country
CUST_0025,Customer Name 25,customer_25@example.com,+1-158-692-3226,02-Apr-2025,Germany
CUST_0026,Customer Name 26,customer_26@example.com,3421607337,06/06/2025,India
CUST_0027,Customer Name 27,customer_27@example.com,+1-541-458-6850,05/14/2025,UK
CUST_0028,Customer Name 28,,(965) 569-8169,2025-05-11,USA
CUST_0029,Customer Name 29,customer_29@example.com,8356159514,2025/12/08,India
CUST_0030,Customer Name 30,customer_30@example.com,+1-236-629-9468,05-Jun-2025,Australia
CUST_0031,Customer Name 31,customer_31@example.com,5777387214,02/17/2025,Canada
CUST_0032,Customer Name 32,customer_32@example.com,(200) 379-1769,2025/12/23,Canada
CUST_0033,Customer Name 33,customer_33@example.com,+1-016-328-7083,08/22/2025,India
CUST_0034,Customer Name 34,customer_34@example.com,895.798.6872,19-Aug-2025,Australia
CUST_0035,Customer Name 35,customer_35@example.com,8734714345,2025-10-04,Canada
CUST_0036,Customer Name 36,customer_36@example.com,(231) 665-8760,2025/08/04,France
CUST_0037,Customer Name 37,customer_37@example.com,(096) 705-4668,09/07/2025,Germany
CUST_0038,Customer Name 38,,+1-562-729-8069,2025/02/12,Germany
CUST_0039,Customer Name 39,customer_39@example.com,4653755646,2025/02/11,
CUST_0040,Customer Name 40,customer_40@example.com,(531) 003-3092,2025/03/06,France
CUST_0041,Customer Name 41,customer_41@example.com,+1-745-299-1241,2025/06/09,India
CUST_0042,Customer Name 42,customer_42@example.com,931.491.9058,05-Dec-2025,India
CUST_0043,Customer Name 43,customer_43@example.com,6716572628,2025/11/12,Australia
CUST_0044,Customer Name 44,customer_44@example.com,453.147.3799,2025-06-22,UK
CUST_0045,Customer Name 45,customer_45@example.com,(354) 549-4808,02/13/2025,Germany
CUST_0046,Customer Name 46,customer_46@example.com,3777014363,06-Dec-2025,France
CUST_0047,Customer Name 47,customer_47@example.com,8557444313,03/03/2025,India
CUST_0048,Customer Name 48,customer_48@example.com,9894134352,01/08/2025,USA
CUST_0049,Customer Name 49,customer_49@example.com,(271) 094-7775,27-Jan-2025,Germany
CUST_0050,Customer Name 50,customer_50@example.com,+1-167-190-2294,2025-05-08,Germany
CUST_0051,Customer Name 51,customer_51@example.com,+1-938-677-4964,2025-11-09,Canada
CUST_0052,Customer Name 52,customer_52@example.com,412.328.1206,2025/12/19,Canada
CUST_0053,Customer Name 53,customer_53@example.com,(471) 349-3618,11/28/2025,Australia
CUST_0054,Customer Name 54,customer_54@example.com,024.994.7174,2025/05/20,France
CUST_0055,Customer Name 55,,6594013990,2025-10-23,Canada
CUST_0056,Customer Name 56,customer_56@example.com,7429671756,2025-06-14,UK
CUST_0057,Customer Name 57,customer_57@example.com,+1-746-807-1545,2025-07-26,France
CUST_0058,Customer Name 58,customer_58@example.com,(038) 597-7034,2025/05/28,Germany
CUST_0059,Customer Name 59,customer_59@example.com,+1-932-480-8613,2025-08-25,Canada
CUST_0060,Customer Name 60,customer_60@example.com,484.677.3782,04/08/2025,UK
CUST_0061,Customer Name 61,customer_61@example.com,(658) 404-4997,2025/08/17,France
CUST_0062,Customer Name 62,customer_62@example.com,6753396360,2025/08/31,India
CUST_0063,Customer Name 63,customer_63@example.com,270.289.5171,01/08/2025,India
CUST_0064,Customer Name 64,customer_64@example.com,1745961586,2025/11/17,USA
CUST_0065,Customer Name 65,customer_65@example.com,+1-343-161-1724,24-Jan-2025,UK
CUST_0066,Customer Name 66,customer_66@example.com,623.869.2221,11/14/2025,France
CUST_0067,Customer Name 67,customer_67@example.com,747.407.4821,26-Jun-2025,Germany
CUST_0068,Customer Name 68,customer_68@example.com,7436713695,25-Dec-2025,Australia
CUST_0069,Customer Name 69,customer_69@example.com,(409) 097-4395,11/22/2025,India
CUST_0070,Customer Name 70,customer_70@example.com,2104709521,2025/06/17,Canada
CUST_0071,Customer Name 71,customer_71@example.com,588.424.7451,02/08/2025,Canada
CUST_0072,Customer Name 72,customer_72@example.com,6851604817,11-Dec-2025,Australia
CUST_0073,Customer Name 73,customer_73@example.com,+1-513-709-8593,2025/11/22,UK
CUST_0074,Customer Name 74,customer_74@example.com,(120) 047-1138,2025/07/18,India
CUST_0075,Customer Name 75,customer_75@example.com,+1-869-261-7964,20-Dec-2025,Germany
CUST_0076,Customer Name 76,customer_76@example.com,515.850.6431,02/16/2025,France
CUST_0077,Customer Name 77,customer_77@example.com,(053) 293-1839,30-Apr-2025,Australia
CUST_0078,Customer Name 78,customer_78@example.com,+1-042-284-2102,07/03/2025,USA
CUST_0079,Customer Name 79,customer_79@example.com,+1-026-811-7758,08/20/2025,USA
CUST_0080,Customer Name 80,customer_80@example.com,847.007.6617,2025-02-07,Canada
CUST_0081,Customer Name 81,,499.856.9847,2025-02-20,India
CUST_0082,Customer Name 82,customer_82@example.com,+1-836-736-5766,2025/06/10,UK
CUST_0083,Customer Name 83,customer_83@example.com,+1-271-111-6152,28-Oct-2025,Germany
CUST_0084,Customer Name 84,customer_84@example.com,(604) 945-1983,2025/12/03,USA
CUST_0085,Customer Name 85,customer_85@example.com,+1-851-493-6899,08-Nov-2025,UK
CUST_0086,Customer Name 86,customer_86@example.com,+1-455-022-9612,02/16/2025,Germany
CUST_0087,Customer Name 87,customer_87@example.com,+1-545-991-0229,2025-12-12,India
CUST_0088,Customer Name 88,customer_88@example.com,9764381561,2025/12/14,UK
CUST_0089,Customer Name 89,,6900343244,2025-03-03,Germany
CUST_0090,Customer Name 90,customer_90@example.com,+1-683-885-1606,2025-08-24,France
CUST_0091,Customer Name 91,customer_91@example.com,6641605297,2025/02/15,Canada
CUST_0092,Customer Name 92,customer_92@example.com,+1-681-645-3521,09/29/2025,UK
CUST_0093,Customer Name 93,customer_93@example.com,(231) 243-2921,2025/11/18,France
CUST_0094,Customer Name 94,customer_94@example.com,7995527177,2025-05-21,USA
CUST_0095,Customer Name 95,customer_95@example.com,700.541.1998,2025-08-25,Australia
CUST_0096,Customer Name 96,customer_96@example.com,+1-359-782-0715,09/16/2025,India
CUST_0097,Customer Name 97,customer_97@example.com,7889255466,2025-12-14,India
CUST_0098,Customer Name 98,customer_98@example.com,(518) 644-9251,29-Jun-2025,India
CUST_0099,Customer Name 99,customer_99@example.com,291.486.5281,18-Sep-2025,
CUST_0100,Customer Name 100,customer_100@example.com,+1-357-332-2141,05-Dec-2025,France
CUST_0101,Customer Name 101,customer_101@example.com,(622) 292-7065,16-Aug-2025,Australia
CUST_0102,Customer Name 102,customer_102@example.com,834.735.9774,2025/09/15,Australia
CUST_0103,Customer Name 103,customer_103@example.com,9240758181,02/12/2025,France
CUST_0104,Customer Name 104,customer_104@example.com,6137506068,2025/05/01,UK
CUST_0105,Customer Name 105,customer_105@example.com,515.220.4727,2025-11-12,USA
CUST_0106,Customer Name 106,customer_106@example.com,+1-289-861-4341,2025/05/03,France
CUST_0107,Customer Name 107,customer_107@example.com,179.808.9324,01-Jan-2025,Germany
CUST_0108,Customer Name 108,customer_108@example.com,185.188.8880,2025-08-29,UK
CUST_0109,Customer Name 109,customer_109@example.com,0515319520,07-Oct-2025,Canada
CUST_0110,Customer Name 110,customer_110@example.com,(772) 217-0430,22-Jan-2025,France
CUST_0111,Customer Name 111,customer_111@example.com,+1-874-034-5054,2025/07/08,India
CUST_0112,Customer Name 112,customer_112@example.com,+1-652-775-8416,08/09/2025,UK
CUST_0113,Customer Name 113,customer_113@example.com,+1-544-796-2757,2025/06/30,Australia
CUST_0114,Customer Name 114,customer_114@example.com,(165) 820-2970,02/04/2025,UK
CUST_0115,Customer Name 115,customer_115@example.com,(909) 275-5719,29-Sep-2025,India
CUST_0116,Customer Name 116,customer_116@example.com,102.786.8144,20-Apr-2025,Germany
CUST_0117,Customer Name 117,customer_117@example.com,2172715518,06/03/2025,India
CUST_0118,Customer Name 118,customer_118@example.com,5831323705,08/28/2025,USA
CUST_0119,Customer Name 119,,678.669.1251,27-Aug-2025,Australia
CUST_0120,Customer Name 120,customer_120@example.com,(922) 680-1824,24-Mar-2025,Canada
CUST_0121,Customer Name 121,customer_121@example.com,+1-841-438-4249,09/15/2025,France
CUST_0122,Customer Name 122,customer_122@example.com,(995) 900-1094,2025/10/20,USA
CUST_0123,Customer Name 123,customer_123@example.com,(844) 736-4710,2025/08/14,Canada
CUST_0124,Customer Name 124,customer_124@example.com,2555625881,2025/05/04,Germany
CUST_0125,Customer Name 125,customer_125@example.com,1046963259,04/08/2025,France
CUST_0126,Customer Name 126,customer_126@example.com,4701687339,2025-01-25,France
CUST_0127,Customer Name 127,customer_127@example.com,7480162456,2025/01/24,France
CUST_0128,Customer Name 128,customer_128@example.com,+1-841-687-8499,2025-03-07,Australia
CUST_0129,Customer Name 129,customer_129@example.com,+1-852-398-6800,12-Mar-2025,France
CUST_0130,Customer Name 130,customer_130@example.com,9825952694,2025/09/17,UK
CUST_0131,Customer Name 131,customer_131@example.com,0551694097,12/02/2025,France
CUST_0132,Customer Name 132,customer_132@example.com,896.230.9130,2025/06/10,India
CUST_0133,Customer Name 133,customer_133@example.com,897.028.3857,06/10/2025,France
CUST_0134,Customer Name 134,customer_134@example.com,5497334843,05/28/2025,Germany
CUST_0135,Customer Name 135,customer_135@example.com,(584) 419-8665,2025-05-29,India
CUST_0136,Customer Name 136,,+1-747-338-4842,11/12/2025,India
CUST_0137,Customer Name 137,customer_137@example.com,(330) 165-7120,2025/07/28,Canada
CUST_0138,Customer Name 138,customer_138@example.com,454.019.3802,2025-04-01,Germany
CUST_0139,Customer Name 139,customer_139@example.com,240.049.9154,2025/11/25,Canada
CUST_0140,Customer Name 140,customer_140@example.com,7431527420,06/01/2025,Australia
CUST_0141,Customer Name 141,customer_141@example.com,6685161227,2025-05-08,Canada
CUST_0142,Customer Name 142,customer_142@example.com,+1-454-990-4530,27-Aug-2025,India
CUST_0143,Customer Name 143,customer_143@example.com,414.593.3272,07-Nov-2025,France
CUST_0144,Customer Name 144,customer_144@example.com,+1-833-918-7851,02/01/2025,Canada
CUST_0145,Customer Name 145,customer_145@example.com,871.397.1870,2025/03/09,USA
CUST_0146,Customer Name 146,customer_146@example.com,4064039106,2025-12-25,USA
CUST_0147,Customer Name 147,customer_147@example.com,170.462.2656,2025/07/13,India
CUST_0148,Customer Name 148,customer_148@example.com,+1-251-286-8230,2025/06/02,France
CUST_0149,Customer Name 149,customer_149@example.com,633.752.4310,2025-11-11,USA
CUST_0150,Customer Name 150,customer_150@example.com,(079) 030-6738,01/29/2025,UK
CUST_0151,Customer Name 151,customer_151@example.com,959.953.4283,03-Jun-2025,France
CUST_0152,Customer Name 152,customer_152@example.com,268.705.6856,18-Mar-2025,Australia
CUST_0153,Customer Name 153,customer_153@example.com,(334) 270-8668,07/18/2025,UK
CUST_0154,Customer Name 154,customer_154@example.com,+1-751-830-4699,02/07/2025,France
CUST_0155,Customer Name 155,customer_155@example.com,837.354.0331,05/05/2025,Canada
CUST_0156,Customer Name 156,customer_156@example.com,467.854.4587,2025/02/20,UK
CUST_0157,Customer Name 157,customer_157@example.com,556.093.2048,06/01/2025,Canada
CUST_0158,Customer Name 158,customer_158@example.com,(378) 547-7725,2025/03/13,France
CUST_0159,Customer Name 159,customer_159@example.com,(080) 100-6231,01/05/2025,UK
CUST_0160,Customer Name 160,,9770088600,02-Oct-2025,
CUST_0161,Customer Name 161,customer_161@example.com,6211823398,01-Jul-2025,USA
CUST_0162,Customer Name 162,customer_162@example.com,679.334.1016,2025/07/13,USA
CUST_0163,Customer Name 163,customer_163@example.com,176.591.8033,2025-05-19,India
CUST_0164,Customer Name 164,customer_164@example.com,+1-890-250-3926,06/03/2025,France
CUST_0165,Customer Name 165,customer_165@example.com,685.621.8501,2025-04-29,Australia
CUST_0166,Customer Name 166,customer_166@example.com,965.047.7358,08/10/2025,India
CUST_0167,Customer Name 167,customer_167@example.com,9431142626,2025-07-04,UK
CUST_0168,Customer Name 168,customer_168@example.com,412.126.7888,2025-02-22,France
CUST_0169,Customer Name 169,customer_169@example.com,(956) 046-6183,2025/12/17,UK
CUST_0170,Customer Name 170,customer_170@example.com,7212646471,05/09/2025,Germany
CUST_0171,Customer Name 171,customer_171@example.com,3712406596,14-Aug-2025,Australia
CUST_0172,Customer Name 172,customer_172@example.com,9245937526,2025/05/30,Australia
CUST_0173,Customer Name 173,customer_173@example.com,+1-646-519-3982,08/25/2025,UK
CUST_0174,Customer Name 174,customer_174@example.com,+1-167-243-4266,2025/08/18,France
CUST_0175,Customer Name 175,customer_175@example.com,(680) 589-1135,2025-11-28,India
CUST_0176,Customer Name 176,customer_176@example.com,(656) 101-4388,17-Aug-2025,Australia
CUST_0177,Customer Name 177,customer_177@example.com,(825) 071-4611,28-Jun-2025,Australia
CUST_0178,Customer Name 178,customer_178@example.com,+1-757-177-5140,12-Jan-2025,India
CUST_0179,Customer Name 179,customer_179@example.com,382.825.8673,11/19/2025,India
CUST_0180,Customer Name 180,customer_180@example.com,0937966033,2025-12-27,Australia
CUST_0181,Customer Name 181,customer_181@example.com,255.371.4785,2025/11/09,UK
CUST_0182,Customer Name 182,customer_182@example.com,(792) 499-1251,2025-06-06,India
CUST_0183,Customer Name 183,customer_183@example.com,(669) 296-6278,10/12/2025,Canada
CUST_0184,Customer Name 184,customer_184@example.com,790.507.2368,2025/07/29,Australia
CUST_0185,Customer Name 185,customer_185@example.com,2190340438,2025/03/28,Australia
CUST_0186,Customer Name 186,customer_186@example.com,881.914.8580,10/07/2025,USA
CUST_0187,Customer Name 187,customer_187@example.com,(340) 745-1713,29-Oct-2025,France
CUST_0188,Customer Name 188,customer_188@example.com,(292) 330-9584,15-Jun-2025,UK
CUST_0189,Customer Name 189,customer_189@example.com,8126042232,2025/05/07,France
CUST_0190,Customer Name 190,customer_190@example.com,667.116.8457,2025-06-17,Australia
CUST_0191,Customer Name 191,customer_191@example.com,7518636374,26-May-2025,Canada
CUST_0192,Customer Name 192,customer_192@example.com,750.017.0127,2025/01/01,India
CUST_0193,Customer Name 193,customer_193@example.com,424.154.1520,17-Nov-2025,Australia
CUST_0194,Customer Name 194,customer_194@example.com,110.371.2938,2025-01-05,Australia
CUST_0195,Customer Name 195,customer_195@example.com,6271361115,06/03/2025,Australia
CUST_0196,Customer Name 196,customer_196@example.com,(221) 890-9275,11/18/2025,France
CUST_0197,Customer Name 197,customer_197@example.com,(311) 219-6565,07-May-2025,Canada
CUST_0198,Customer Name 198,customer_198@example.com,994.043.8983,2025-06-01,Australia
CUST_0199,Customer Name 199,customer_199@example.com,7613791805,2025/03/09,France
CUST_0200,Customer Name 200,customer_200@example.com,+1-827-109-1043,2025/01/31,India
CUST_0201,Customer Name 201,customer_201@example.com,6661889241,02/10/2025,Canada
CUST_0202,Customer Name 202,customer_202@example.com,+1-691-463-0316,2025-08-21,India
CUST_0203,Customer Name 203,customer_203@example.com,2102027588,27-Mar-2025,Australia
CUST_0204,Customer Name 204,customer_204@example.com,105.648.1491,22-Aug-2025,Australia
CUST_0205,Customer Name 205,customer_205@example.com,+1-524-191-3800,2025-05-06,Germany
CUST_0206,Customer Name 206,customer_206@example.com,+1-208-635-3654,20-Oct-2025,India
CUST_0207,Customer Name 207,customer_207@example.com,+1-238-061-7445,2025/10/11,
CUST_0208,Customer Name 208,customer_208@example.com,(949) 375-9738,2025-03-19,USA
CUST_0209,Customer Name 209,customer_209@example.com,505.064.1383,2025-09-09,Canada
CUST_0210,Customer Name 210,customer_210@example.com,(103) 865-7191,2025/11/23,France
CUST_0211,Customer Name 211,,(234) 456-5574,02/08/2025,Australia
CUST_0212,Customer Name 212,customer_212@example.com,(212) 775-6185,20-Aug-2025,Australia
CUST_0213,Customer Name 213,customer_213@example.com,249.035.2135,2025-09-20,UK
CUST_0214,Customer Name 214,customer_214@example.com,(206) 788-3171,2025-03-04,Australia
CUST_0215,Customer Name 215,customer_215@example.com,+1-236-519-9410,2025/04/12,USA
CUST_0216,Customer Name 216,customer_216@example.com,+1-510-702-9667,2025/07/15,Canada
CUST_0217,Customer Name 217,customer_217@example.com,447.209.9934,2025/07/30,UK
CUST_0218,Customer Name 218,customer_218@example.com,638.380.6578,26-Jun-2025,Canada
CUST_0219,Customer Name 219,,(930) 407-8593,02/21/2025,UK
CUST_0220,Customer Name 220,customer_220@example.com,0396522395,2025-10-30,UK
CUST_0221,Customer Name 221,customer_221@example.com,+1-929-378-4270,01/29/2025,USA
CUST_0222,Customer Name 222,customer_222@example.com,(059) 325-2500,10/28/2025,Australia
CUST_0223,Customer Name 223,customer_223@example.com,(515) 691-5452,2025/08/12,Canada
CUST_0224,Customer Name 224,customer_224@example.com,(895) 392-6442,2025/01/01,Australia
CUST_0225,Customer Name 225,customer_225@example.com,0295939172,02/09/2025,UK
CUST_0226,Customer Name 226,customer_226@example.com,+1-157-043-3154,2025-01-01,India
CUST_0227,Customer Name 227,customer_227@example.com,(267) 658-6179,2025/03/25,Australia
CUST_0228,Customer Name 228,,+1-054-115-2621,2025/06/23,Germany
CUST_0229,Customer Name 229,customer_229@example.com,2962015336,05-Dec-2025,USA
CUST_0230,Customer Name 230,,987.205.0614,2025-04-13,Canada
CUST_0231,Customer Name 231,customer_231@example.com,171.467.7418,05-Apr-2025,UK
CUST_0232,Customer Name 232,customer_232@example.com,+1-047-743-4902,13-Feb-2025,Germany
CUST_0233,Customer Name 233,customer_233@example.com,(938) 068-6879,01-Sep-2025,Australia
CUST_0234,Customer Name 234,customer_234@example.com,(898) 992-1722,04/09/2025,USA
CUST_0235,Customer Name 235,customer_235@example.com,632.945.1168,10-Oct-2025,France
CUST_0236,Customer Name 236,customer_236@example.com,+1-099-861-6229,2025-02-24,Australia
CUST_0237,Customer Name 237,customer_237@example.com,5646799702,07/26/2025,India
CUST_0238,Customer Name 238,customer_238@example.com,0653074505,09-Jun-2025,Australia
CUST_0239,Customer Name 239,customer_239@example.com,(132) 475-4691,08/15/2025,Germany
CUST_0240,Customer Name 240,customer_240@example.com,+1-850-821-4862,03/30/2025,Canada
CUST_0241,Customer Name 241,customer_241@example.com,307.053.4578,2025-11-22,Canada
CUST_0242,Customer Name 242,customer_242@example.com,+1-972-798-5524,2025-05-26,Canada
CUST_0243,Customer Name 243,customer_243@example.com,(333) 346-8007,11/28/2025,USA
CUST_0244,Customer Name 244,customer_244@example.com,9446657437,2025/12/13,USA
CUST_0245,Customer Name 245,customer_245@example.com,5899441715,24-Nov-2025,UK
CUST_0246,Customer Name 246,customer_246@example.com,+1-432-830-9652,2025/12/02,UK
CUST_0247,Customer Name 247,customer_247@example.com,6609935387,17-Sep-2025,Australia
CUST_0248,Customer Name 248,customer_248@example.com,+1-824-172-4825,24-Apr-2025,Australia
CUST_0249,Customer Name 249,customer_249@example.com,+1-554-947-1709,08/30/2025,Australia
CUST_0250,Customer Name 250,customer_250@example.com,846.022.3569,15-Mar-2025,Canada
CUST_0251,Customer Name 251,customer_251@example.com,(752) 500-7432,2025-09-08,Germany
CUST_0252,Customer Name 252,customer_252@example.com,6676008350,09/29/2025,
CUST_0253,Customer Name 253,,(335) 421-6894,2025-02-03,UK
CUST_0254,Customer Name 254,customer_254@example.com,(898) 562-5753,2025-07-26,India
CUST_0255,Customer Name 255,customer_255@example.com,+1-309-821-5064,2025-11-01,India
CUST_0256,Customer Name 256,customer_256@example.com,(016) 761-8472,2025-12-22,India
CUST_0257,Customer Name 257,customer_257@example.com,8499261891,2025-02-28,France
CUST_0258,Customer Name 258,customer_258@example.com,(483) 564-2087,2025/12/19,USA
CUST_0259,Customer Name 259,,(119) 721-8114,22-Aug-2025,USA
CUST_0260,Customer Name 260,customer_260@example.com,(204) 556-1100,12/06/2025,Germany
CUST_0261,Customer Name 261,customer_261@example.com,415.521.6674,2025/12/20,India
CUST_0262,Customer Name 262,customer_262@example.com,212.021.6979,2025/04/03,France
CUST_0263,Customer Name 263,,+1-277-167-0145,12/27/2025,India
CUST_0264,Customer Name 264,customer_264@example.com,+1-889-163-7562,01/06/2025,Germany
CUST_0265,Customer Name 265,customer_265@example.com,217.535.4083,07/26/2025,Germany
CUST_0266,Customer Name 266,customer_266@example.com,717.751.7016,2025-01-19,Australia
CUST_0267,Customer Name 267,customer_267@example.com,948.837.5503,2025/06/19,UK
CUST_0268,Customer Name 268,customer_268@example.com,+1-113-055-4885,01/24/2025,Australia
CUST_0269,Customer Name 269,customer_269@example.com,(614) 933-1637,2025-06-23,USA
CUST_0270,Customer Name 270,customer_270@example.com,+1-917-798-2708,2025/10/11,Germany
CUST_0271,Customer Name 271,customer_271@example.com,292.216.9958,08/03/2025,UK
CUST_0272,Customer Name 272,customer_272@example.com,(722) 698-4858,04/13/2025,UK
CUST_0273,Customer Name 273,customer_273@example.com,228.851.5879,12-Dec-2025,Germany
CUST_0274,Customer Name 274,customer_274@example.com,8106200342,16-Dec-2025,USA
CUST_0275,Customer Name 275,customer_275@example.com,438.057.1983,02-May-2025,USA
CUST_0276,Customer Name 276,customer_276@example.com,(665) 800-4397,21-Nov-2025,France
CUST_0277,Customer Name 277,customer_277@example.com,334.721.2281,2025/01/21,UK
CUST_0278,Customer Name 278,customer_278@example.com,+1-940-572-0259,17-Nov-2025,France
CUST_0279,Customer Name 279,customer_279@example.com,158.328.1826,17-Feb-2025,Canada
CUST_0280,Customer Name 280,customer_280@example.com,5543987801,08/17/2025,France
CUST_0281,Customer Name 281,customer_281@example.com,3056164840,2025/09/21,UK
CUST_0282,Customer Name 282,customer_282@example.com,(358) 112-8801,12/10/2025,Germany
CUST_0283,Customer Name 283,customer_283@example.com,+1-386-120-7501,01/28/2025,France
CUST_0284,Customer Name 284,,+1-346-676-6506,2025-10-01,France
CUST_0285,Customer Name 285,,9015814491,2025/08/13,India
CUST_0286,Customer Name 286,,+1-283-268-4245,10/11/2025,USA
CUST_0287,Customer Name 287,customer_287@example.com,(688) 143-5368,03/24/2025,Australia
CUST_0288,Customer Name 288,customer_288@example.com,1290878141,02/20/2025,Germany
CUST_0289,Customer Name 289,customer_289@example.com,523.149.1357,18-Jun-2025,Canada
CUST_0290,Customer Name 290,customer_290@example.com,5562053364,10-Mar-2025,Germany
CUST_0291,Customer Name 291,customer_291@example.com,(478) 129-1428,2025-05-15,USA
CUST_0292,Customer Name 292,customer_292@example.com,099.693.0848,12/01/2025,Canada
CUST_0293,Customer Name 293,customer_293@example.com,+1-942-788-1658,12/06/2025,Australia
CUST_0294,Customer Name 294,customer_294@example.com,2827229927,01/21/2025,Canada
CUST_0295,Customer Name 295,,+1-530-385-6770,29-Nov-2025,France
CUST_0296,Customer Name 296,customer_296@example.com,+1-449-892-6659,22-Sep-2025,Canada
CUST_0297,Customer Name 297,customer_297@example.com,(557) 790-8272,09-Feb-2025,Canada
CUST_0298,Customer Name 298,customer_298@example.com,(913) 651-7773,2025/11/28,USA
CUST_0299,Customer Name 299,customer_299@example.com,(922) 809-2024,2025/09/22,France
CUST_0300,Customer Name 300,customer_300@example.com,(413) 797-7236,10/26/2025,France
CUST_0301,Customer Name 301,customer_301@example.com,+1-579-913-6621,2025/04/14,France
CUST_0302,Customer Name 302,customer_302@example.com,+1-799-088-1172,2025/12/14,UK
CUST_0303,Customer Name 303,customer_303@example.com,(863) 765-9916,2025/05/11,Australia
CUST_0304,Customer Name 304,customer_304@example.com,+1-986-430-0981,07/12/2025,UK
CUST_0305,Customer Name 305,customer_305@example.com,1269448695,2025/12/15,Germany
CUST_0306,Customer Name 306,customer_306@example.com,8725887449,2025/12/28,Australia
CUST_0307,Customer Name 307,customer_307@example.com,+1-137-213-8658,2025/03/24,USA
CUST_0308,Customer Name 308,customer_308@example.com,+1-279-611-4351,2025/07/16,France
CUST_0309,Customer Name 309,customer_309@example.com,+1-902-770-3843,11/03/2025,India
CUST_0310,Customer Name 310,,(302) 146-5669,2025-09-23,USA
CUST_0311,Customer Name 311,customer_311@example.com,848.955.4393,2025-07-26,Germany
CUST_0312,Customer Name 312,customer_312@example.com,8184518489,2025/12/22,France
CUST_0313,Customer Name 313,customer_313@example.com,357.790.7141,11/21/2025,Canada
CUST_0314,Customer Name 314,customer_314@example.com,6588043416,02/08/2025,UK
CUST_0315,Customer Name 315,customer_315@example.com,(942) 373-3343,04/14/2025,UK
CUST_0316,Customer Name 316,customer_316@example.com,1117908075,10-Sep-2025,Australia
CUST_0317,Customer Name 317,customer_317@example.com,+1-463-920-8678,15-Sep-2025,India
CUST_0318,Customer Name 318,customer_318@example.com,+1-718-750-0369,16-Jun-2025,UK
CUST_0319,Customer Name 319,customer_319@example.com,(434) 795-5276,03-Aug-2025,Germany
CUST_0320,Customer Name 320,customer_320@example.com,292.931.4386,04/11/2025,India
CUST_0321,Customer Name 321,customer_321@example.com,0267288574,2025-10-15,India
CUST_0322,Customer Name 322,customer_322@example.com,3471754558,2025-06-26,UK
CUST_0323,Customer Name 323,customer_323@example.com,939.982.4558,2025-08-17,UK
CUST_0324,Customer Name 324,customer_324@example.com,2256996112,27-Apr-2025,UK
CUST_0325,Customer Name 325,customer_325@example.com,(964) 759-8762,01/12/2025,India
CUST_0326,Customer Name 326,customer_326@example.com,+1-132-611-1780,2025-07-23,France
CUST_0327,Customer Name 327,customer_327@example.com,+1-643-347-2282,18-Jan-2025,UK
CUST_0328,Customer Name 328,customer_328@example.com,784.872.8299,2025/11/20,India
CUST_0329,Customer Name 329,customer_329@example.com,(578) 317-4564,2025-06-05,
CUST_0330,Customer Name 330,customer_330@example.com,254.780.7740,05/30/2025,France
CUST_0331,Customer Name 331,customer_331@example.com,+1-686-632-6634,08/05/2025,Australia
CUST_0332,Customer Name 332,customer_332@example.com,+1-448-463-1224,2025/11/23,UK
CUST_0333,Customer Name 333,customer_333@example.com,7350208021,05/18/2025,India
CUST_0334,Customer Name 334,,120.735.6475,2025-12-23,Australia
